contour15s_lon,contour15s_lat,contour15s_x,contour15s_y,normals_x,normals_y
-88.66728267854369,29.91646042577994,-241227.69305488412,3334357.3308368674,-0.8699182925363583,0.49319586809971006
-88.64756315447823,29.949736619563428,-239067.4287415048,3337932.9308054745,-0.8359388429546651,0.5488226041624158
-88.62502789293512,29.981628224412468,-236645.7480998398,3341336.3177356436,-0.786394698444162,0.6177243545942767
-88.59911506878474,30.011512292804934,-233913.08636236485,3344494.6722857566,-0.718488713172194,0.695538617938763
-88.56952076539125,30.0386858903297,-230845.43676214834,3347328.0170051483,-0.6325371516800322,0.7745300199117603
-88.5363371867657,30.062523391393253,-227456.4859082326,3349767.598519472,-0.5336811272142135,0.8456857894368136
-88.50004828974699,30.08266531338386,-223795.7293916411,3351776.827453445,-0.4308508683681016,0.9024231431132809
-88.46135899616822,30.099110936697414,-219931.2530318431,3353360.4287169324,-0.33313691517345867,0.9428784628724487
-88.42097793072462,30.11215728873589,-215929.2112794636,3354556.2180962893,-0.246595366852494,0.9691185299264914
-88.37948323088472,30.122260274360883,-211841.9345437937,3355418.7821572474,-0.17361950765279854,0.9848128078789389
-88.33729083302872,30.12991509362741,-207705.79023849085,3356005.98225546,-0.11410027001946682,0.9934692387696182
-88.29467835809176,30.135590427524996,-203544.00155964334,3356371.8024996463,-0.06680872299276533,0.9977658014444452
-88.25182262123124,30.139705950448374,-199370.44886400766,3356564.1027203347,-0.03027738915804862,0.9995415347576968
-88.20883209107211,30.142631738371275,-195192.81377919772,3356624.770639106,-0.0032025577443350974,0.999994871798798
-88.16577069996659,30.144697091844947,-191014.81532438734,3356590.862256464,0.015448736690713043,0.9998806611464496
-88.12267423108848,30.146199248774618,-186837.72819738777,3356495.6797163617,0.026484805156720186,0.9996492160232061
-88.07956180690829,30.147409682402884,-182661.44469627642,3356369.5472292113,0.030576937674912836,0.9995324161238718
-88.0364442426595,30.148576819477235,-178485.2588773062,3356240.167309048,0.028358593248327957,0.9995978142177864
-87.99333022131027,30.14992526143196,-174308.46419863284,3356132.57314526,0.02051354402840194,0.9997895751163817
-87.9502305787081,30.15165215523157,-170130.787328258,3356068.751418924,0.007840269341244184,0.9999692646159964
-87.90716061224263,30.153921825109492,-165952.64150396493,3356067.059231171,-0.008734034907760249,0.9999618575896932
-87.86414039237124,30.156861333869365,-161775.17909907142,3356141.732376543,-0.028180862448141122,0.999602840628056
-87.82119323537351,30.160557392983666,-157600.15630470114,3356302.532988281,-0.04942203295877139,0.9987779846683758
-87.77834293158301,30.165055963038494,-153429.65899561212,3356554.6895861956,-0.07140051135511705,0.9974477264389486
-87.73561051266077,30.170364554839484,-149265.76636110942,3356899.135384609,-0.09315451596424178,0.9956516640650322
-87.69301145515705,30.17645737320291,-145110.23894513608,3357333.0657752547,-0.11387586634163599,0.9934949859284353
-87.65055383769005,30.183281910144068,-140964.2909907759,3357850.6627834383,-0.1329363099222458,0.9911245822318486
-87.60823764222033,30.190765951638564,-136828.47254520707,3358443.872110383,-0.14990050089184828,0.9887010872009663
-87.56605531243464,30.198825026998097,-132702.67204215113,3359103.2363211922,-0.16449317342324138,0.9863782215241531
-87.52399258217454,30.207366886389103,-128586.16585129288,3359818.3987927693,-0.176562208967804,0.9842894830101608
-87.4820299975839,30.216296134905217,-124477.73488125618,3360578.6285699317,-0.18606445616313677,0.9825375403274503
-87.44014455934914,30.225517616977932,-120375.80167251459,3361373.2065055785,-0.19302974768677755,0.981192904839807
-87.39831117507505,30.23493835923799,-116278.55886391255,3362191.64968949,-0.19752835069256097,0.9802971746734134
-87.35650386867671,30.24446853548588,-112184.08060493357,3363023.825515423,-0.1996480677135571,0.979867669156526
-87.31469672806793,30.254021716806257,-108090.41321807523,3363859.984616548,-0.19948228272286025,0.9799014332470776
-87.27286471825052,30.263514959665102,-103995.65379566775,3364690.7748803287,-0.197119704755468,0.9803794275672644
-87.23098422317796,30.27286830650347,-99898.00612796866,3365507.1885678237,-0.1926357309378045,0.9812703374534755
-87.18903349450774,30.282004243200756,-95795.82770305136,3366300.504057523,-0.18609422422029726,0.9825319026432912
-87.14699308998627,30.290847339624612,-91687.67439802518,3367062.2478079,-0.17754957377235228,0.9841118578968837
-87.10484625466493,30.299323866260814,-87572.33965215272,3367784.1532856496,-0.16705036793039693,0.9859483630364821
-87.06257933947958,30.307361713507955,-83448.89529956537,3368458.1536497194,-0.15464483359924694,0.9879701288202297
-87.02018219791654,30.31489041796718,-79316.72959884153,3369076.386123174,-0.1403868189677564,0.9900967331832352
-86.9776486034804,30.321841533308966,-75175.58522717039,3369631.234667433,-0.12433943150774561,0.9922397420847093
-86.93497656727382,30.328148934885178,-71025.58811600803,3370115.3646832947,-0.10658012503509363,0.9943041169317886
-86.8921686495218,30.33374957990244,-66867.27315469919,3370521.808209708,-0.08720355024705917,0.9961905143215872
-86.84923209546126,30.33858403481441,-62701.59452895738,3370844.022287025,-0.06631956171936669,0.9977984344211767
-86.8061788581585,30.34259709982605,-58529.924800573375,3371075.957494446,-0.04404964901304416,0.999029343123528
-86.76302545049921,30.345738080461086,-54354.0397622517,3371212.0864085862,-0.020521815583276,0.9997894053675335
-86.71979270456197,30.347961038788853,-50176.09464696293,3371247.4293673285,0.004138119506780493,0.9999914379468194
-86.67650542002768,30.349224419341713,-45998.59330161669,3371177.510276557,0.02980799405051607,0.999555643018779
-86.63319203607512,30.34949119295181,-41824.356764161064,3370998.3701430014,0.056375520374578,0.9984096357219793
-86.58988427382283,30.348728014379024,-37656.494556226724,3370706.470994722,0.0837477130661527,0.9964869896572605
-86.54661687373031,30.346904653434894,-33498.38350720265,3370298.630731893,0.11184373458523712,0.9937258067666488
-86.50342739217277,30.343993682487586,-29353.650827333448,3369771.986810057,0.14059690076171624,0.9900669227361352
-86.4603560950022,30.339969749667393,-25226.168739759174,3369123.9144253186,0.16994817854992236,0.9854530007096044
-86.41744584254504,30.334809748966574,-21120.04339772591,3368352.044322136,0.19983360553169008,0.9798298475246633
-86.37474192911151,30.328493041120378,-17039.59926256135,3367454.2860712763,0.23017853319013218,0.9731484176930254
-86.3322918104765,30.321002060776753,-12989.35078595124,3366428.893788084,0.2608912895795144,0.9653681862489243
-86.29014468179105,30.312323024101236,-8973.959368903394,3365274.5424013333,0.2918600616753081,0.9564610313017908
-86.24835087256136,30.302446780708475,-4998.172167677762,3363990.4192365245,0.32295828896109907,0.9464131991848588
-86.2069612477713,30.291369124769158,-1066.7644771567573,3362576.2557175467,0.35404320750586804,0.9352290667098391
-86.16602625281077,30.279091760711665,2815.555465705453,3361032.430341213,0.3849787834072519,0.9229254229493694
-86.12559578578106,30.265620888927295,6644.149812145542,3359359.811215924,0.41566171322048084,0.9095192907039492
-86.08571914127444,30.250966164477614,10414.449802281812,3357559.6404061276,0.44602593087866715,0.8950200383141254
-86.04644556930305,30.235138922062514,14121.891846250648,3355633.339507073,0.476064684587904,0.8794102660807522
-86.00782580675904,30.218149420407414,17761.755465956714,3353582.2104303134,0.5058115501208464,0.862644002914497
-85.96991279878652,30.20000646008174,21329.09143339419,3351407.39603226,0.5353168185140667,0.8446513504493898
-85.93276298448949,30.180716441328933,24818.59277860269,3349109.7808332173,0.5646317507580133,0.825342950558094
-85.89643664034837,30.16028415696839,28224.56503199008,3346690.080245352,0.5937658394754957,0.8046378861773537
-85.86099690735811,30.138715143231437,31541.03055913758,3344149.0973001015,0.6226451482795732,0.782504325434632
-85.82650676193197,30.11601971753822,34762.03878393775,3341488.1584394956,0.6510926400610185,0.7589982701287091
-85.79302479087548,30.09221693364095,37882.09093848531,3338709.5358338077,0.6788250159350551,0.7343000733629083
-85.76059901192582,30.06733895372307,40896.75524857539,3335816.908833333,0.7054671799284168,0.7087425894101799
-85.72926021409572,30.041434020903615,43803.32224067865,3332815.669131175,0.7305943771311137,0.6828117281538154
-85.69901561087129,30.014567675360606,46601.42258323117,3329713.033187594,0.7537694232128369,0.6571389933867774
-85.66984271428377,29.986822909458812,49293.62003848493,3326518.0385751333,0.7745823781865917,0.6324730345262188
-85.64168534747023,29.958298340740267,51885.79034493343,3323241.329376319,0.7926797764925875,0.6096382303790185
-85.61445098357366,29.929106026802874,54387.37184556818,3319894.9072773517,0.8077681349383602,0.5895003309398588
-85.58800972783466,29.899369272836907,56811.45848574203,3316491.888267299,0.8195976748362902,0.5729394831942959
-85.56219403470847,29.86922156704952,59174.82753066851,3313046.3872102518,0.8279222022040019,0.5608429611733355
-85.53679846867996,29.838807378040734,61497.97150466051,3309573.6090913187,0.8324442583484274,0.5541087950418551
-85.51157932453009,29.80828523770242,63805.15339899174,3306090.1933763735,0.832753225725376,0.553644348877491
-85.48625475604034,29.777833205670078,66124.42203583552,3302614.8247899776,0.8282517074243474,0.5603562341481115
